lab_id,paper_id,OC_pct,pH,PFAS,soil_conc_ug_kg,leachate_conc_ng_L,Kd_L_per_g,log_Kd_L_per_kg,excel_row
147X,N65,2.38,7.5,PFUnDA,0.8985042299690169,62.76,0.004316510993770186,0.6351328513580642,75
159X,N66,3.74,7.1,PFPeA,0.852869663934577,53.32,0.005995305025029575,0.7778112837346595,76
159X,N66,3.74,7.1,PFHxA,2.44831822109926,198.29,0.0023471593176623124,0.3705425691185476,76
159X,N66,3.74,7.1,PFHpA,0.21880093885488267,9.45,0.013153538503162188,1.1190426004055516,76
159X,N66,3.74,7.1,PFOA,0.5654282156848923,13.79,0.031002771260688348,1.4914005160740273,76
159X,N66,3.74,7.1,PFNA,9.836012533711378,663.07,0.004834048492182388,0.6843110026669142,76
159X,N66,3.74,7.1,PFDA,2.328099147717884,49.68,0.03686189910865306,1.5665777061180588,76
159X,N66,3.74,7.1,PFOS,0.9861778409105886,14.92,0.05609771051679548,1.7489451370099591,76
159X,N66,3.74,7.1,PFUnDA,10.607091360928447,62.66,0.15928010470680573,2.2021615325139097,76
69X,N67,6.65,6.9,PFPeA,0.30603567147894994,9.597613606270695,0.021886642246047347,1.3401791390979902,77
69X,N67,6.65,6.9,PFHxA,1.3934590448366526,50.89776689813977,0.01737760671554298,1.2399899641837844,77
69X,N67,6.65,6.9,PFHpA,0.2468891272811657,1.4808360893757442,0.15672279197709407,2.1951321599024847,77
69X,N67,6.65,6.9,PFNA,5.991237102753972,97.7012965009373,0.051321981563432935,1.7103034163203994,77
69X,N67,6.65,6.9,PFOS,0.8213965093482966,4.123190540871564,0.1892138129941162,2.2769528376056876,77
69X,N67,6.65,6.9,PFUnDA,4.704725046687257,4.106940553301766,1.1355546983520137,3.0552080585207997,77
75X,N68,4.61,7.1,PFBA,1.0291578389736458,33.73610724888992,0.02050612305032644,1.3118835591003946,78
75X,N68,4.61,7.1,PFOA,0.6774966887620175,10.960711064121575,0.05181138110461761,1.7144251691664871,78
75X,N68,4.61,7.1,PFHxS,9.730704682703848,1.2468402809844557,7.794291240110457,3.8917766295308005,78
75X,N68,4.61,7.1,PFUnDA,0.08814012782313183,3.486122133251456,0.015283143978930191,1.1842127045176634,78
78X,N69,4.94,7.1,PFPeA,2.391135775992187,30.946729960047957,0.0672661854444437,1.8277968002500562,79
78X,N69,4.94,7.1,PFHxA,1.8812497408196216,85.19946206539336,0.01208053543079534,1.082086183414799,79
78X,N69,4.94,7.1,PFHpA,0.26251461595614856,8.347420251212263,0.021448592266338166,1.3313987934427052,79
78X,N69,4.94,7.1,PFHxS,0.22234194915980576,3.7434858695181195,0.04939436047301729,1.6936773668333318,79
78X,N69,4.94,7.1,PFNA,5.203510445272595,89.79150972143492,0.04795102968438473,1.6807979375013642,79
78X,N69,4.94,7.1,PFDA,1.496002745386054,2.1596400371703885,0.6827093032346966,2.834235820994293,79
78X,N69,4.94,7.1,PFUnDA,22.99786559162933,27.546502861243503,0.8248742382099665,2.916387740289578,79
79X,N70,7.37,6.7,PFPeA,0.3144784674513409,17.480427099686313,0.007990319438875966,0.9025641419883342,80
79X,N70,7.37,6.7,PFHxA,2.7156155442482843,32.308406658062154,0.07405290836496999,1.869542119738445,80
79X,N70,7.37,6.7,PFHpA,0.41963053311420906,11.469776752350919,0.02658576292936119,1.4246491277405657,80
79X,N70,7.37,6.7,PFOA,0.8698101112976635,5.673605444948485,0.14330817761959497,2.1562709733263987,80
79X,N70,7.37,6.7,PFHxS,5.168046341636854,1.4063045703656398,3.6649125691123654,3.5640636184846604,80
79X,N70,7.37,6.7,PFNA,5.986636243256859,44.37822853947591,0.12490029774242896,2.096563473664286,80
81X,N71,7.62,6.8,PFPeA,0.2039256465712165,10.85233532897271,0.008790945947531853,0.9440356097369551,81
81X,N71,7.62,6.8,PFHxA,0.7656893022246716,28.720406589358014,0.01666011359701252,1.221677958318518,81
81X,N71,7.62,6.8,PFHpA,0.1725639920606586,1.731829484654265,0.08964259968417648,1.9525144428219834,81
81X,N71,7.62,6.8,PFNA,4.15481605132404,86.19286444561845,0.038203712430806065,1.5821055673586786,81
81X,N71,7.62,6.8,PFUnDA,4.372026721003534,5.558588295749617,0.7765354454019577,2.8901612841355955,81
82X,N72,4.81,7.0,PFPeA,0.7046024307074952,18.01545195383117,0.029111004959143098,1.4640571982480464,82
82X,N72,4.81,7.0,PFHxA,4.157181022489466,125.52255166026416,0.02311899708461294,1.3639689902127772,82
82X,N72,4.81,7.0,PFHpA,0.3891602496710539,6.257297701645798,0.05219302136906428,1.7176124381839173,82
82X,N72,4.81,7.0,PFHxS,12.669732712039877,17.73742559817264,0.7042937762820074,2.847753850626715,82
82X,N72,4.81,7.0,PFNA,7.5944108074167715,95.95906293251801,0.06914219434132496,1.8397431584752095,82
82X,N72,4.81,7.0,PFUnDA,12.363774642144943,10.211548410075693,1.2007639454507855,3.0794576391562254,82
91X,N73,4.32,6.9,PFPeA,0.5614338579764584,27.208941128181223,0.010634167839591608,1.0267035105233215,83
91X,N73,4.32,6.9,PFHxA,1.819902340388316,91.12018620196513,0.009972548523491357,0.9988061581363791,83
91X,N73,4.32,6.9,PFHpA,0.5298949841354259,28.74330923066647,0.008435420218423447,0.9261067222537455,83
91X,N73,4.32,6.9,PFOA,0.6900738853117332,3.679703082169377,0.17753520865735142,2.2492844949080704,83
91X,N73,4.32,6.9,PFHxS,0.05575106253520581,0.7234551542981282,0.06706222314400898,1.826477946396291,83
91X,N73,4.32,6.9,PFNA,6.07089564918183,111.15319596186512,0.04461737376642465,1.6495040035919997,83
91X,N73,4.32,6.9,PFUnDA,2.7991818015691643,1.7837962688473898,1.5592272993585032,3.1929094299172665,83
92X,N74,5.59,7.2,PFPrA,3.1271607562049795,39.058874030400354,0.07006274716908234,1.8454871620565036,84
92X,N74,5.59,7.2,PFPeA,0.5706921780040265,16.802682570330546,0.023964349181465238,1.3795656390137503,84
92X,N74,5.59,7.2,PFBS,0.1614787145399953,0.5519125137843037,0.2825802740597104,2.45114184199229,84
92X,N74,5.59,7.2,PFHxA,1.8790013451424055,71.17978038736165,0.01639796491246315,1.2147899527959078,84
92X,N74,5.59,7.2,PFHpA,0.371232205456569,6.977481883085482,0.043204323805769315,1.6355272123477764,84
92X,N74,5.59,7.2,PFHxS,0.8682933028920432,4.383650433874728,0.18807539765997144,2.2743319887490943,84
92X,N74,5.59,7.2,PFNA,7.296363856455789,87.23867635355339,0.07363680149026694,1.8670949160990125,84
92X,N74,5.59,7.2,PFUnDA,3.2531577324039413,1.65183352887099,1.9594222665569931,3.292128038992999,84
94X,N75,3.7,7.4,PFPrA,3.0798335023160135,25.282132824411587,0.11181857929890428,2.048513970067477,85
94X,N75,3.7,7.4,PFPeA,0.33838826568303404,11.182833352401598,0.0202596180251906,1.3066312529139072,85
94X,N75,3.7,7.4,PFBS,0.3006369759411342,0.2134176308085225,1.398679193008494,3.1457181142895414,85
94X,N75,3.7,7.4,PFHxA,1.036856404935709,43.017117945402745,0.014103344307065977,1.14932210853385,85
94X,N75,3.7,7.4,PFHpA,0.19372442570495274,5.032835303725181,0.028492105148277488,1.4547245384112806,85
94X,N75,3.7,7.4,6:2 FTS,3.0501591908490076,11.88225807830825,0.2466986149221291,2.3921667111704616,85
94X,N75,3.7,7.4,PFHxS,2.778061819162898,8.334635039820782,0.32331535284868745,2.509626327869072,85
94X,N75,3.7,7.4,PFNA,3.5989852995193434,65.21674631811483,0.04518498702716908,1.6549941619286426,85
94X,N75,3.7,7.4,PFUnDA,6.597013156405131,7.872408687174568,0.8279917022286631,2.918025984497005,85
97X,N76,5.65,7.0,PFPeA,0.21444994409812912,10.770459379033646,0.009910937551613526,0.9961147396752666,86
97X,N76,5.65,7.0,PFHxA,2.118465591804289,110.0659779515664,0.009247233625058072,0.9660118299216206,86
97X,N76,5.65,7.0,PFHpA,0.1638463553932133,3.4831504660678414,0.03703970069320056,1.5686674686196,86
97X,N76,5.65,7.0,PFHxS,0.2565196523911366,0.8211912488549109,0.302375043875387,2.480545944387173,86
97X,N76,5.65,7.0,PFNA,2.2513456522364312,15.831082276001034,0.13221047007312542,2.121265849362412,86
97X,N76,5.65,7.0,PFUnDA,8.180907237463288,5.2818171379951355,1.5388811944308594,3.1872050924794704,86
145X,N77,3.6006769819278,6.8,PFBA,0.49481737329962305,1.5475386169033705,0.30974476623384956,2.491003976823849,87
145X,N77,3.6006769819278,6.8,PFOA,0.2526323242276183,9.096790842378262,0.017771587651626185,1.249726227891986,87
145X,N77,3.6006769819278,6.8,PFUnDA,0.06577006063834091,2.6665636204778265,0.014664725841626628,1.166273948217922,87
77X,N78,13.057167371855982,6.9,PFPrA,2.2921423881706815,6.931390804427075,0.32069011008680853,2.5060855667230935,88
77X,N78,13.057167371855982,6.9,PFHxA,0.5912139985142202,8.541808757246232,0.059214146010079946,1.7724254702402849,88
77X,N78,13.057167371855982,6.9,PFHpA,0.19311806789828923,3.1101646108723697,0.05209255523749322,1.716775660913706,88
77X,N78,13.057167371855982,6.9,PFHxS,2.720538477128785,7.8,0.33878698424728015,2.5299267169533364,88
77X,N78,13.057167371855982,6.9,PFNA,2.5326605581891304,23.2215841464743,0.09906493468378043,1.995919957530528,88
144X,N79,2.37,7.5,PFPeA,0.245873848237793,6.439082586943796,0.028184608586375188,1.4500120079354244,89
144X,N79,2.37,7.5,PFBS,0.36283960138710775,0.2,1.8041980069355386,3.256284198727274,89
144X,N79,2.37,7.5,PFHxA,0.3620211144493431,5.316464484495603,0.058094335155459934,1.764133785907204,89
144X,N79,2.37,7.5,PFHpA,0.20718549762598298,11.513710730593688,0.00799467630148632,0.902800884176781,89
144X,N79,2.37,7.5,PFOA,0.7483881613909995,6.8856482548166165,0.09868811965053408,1.9942648742424294,89
144X,N79,2.37,7.5,PFHxS,1.7619955680972095,4.404999999999999,0.3899989938926696,2.591063486648485,89
144X,N79,2.37,7.5,PFNA,1.4003391710308317,28.003200063893118,0.04000639812006367,1.602129452478806,89
144X,N79,2.37,7.5,PFOS,1.4544963740887713,2.5588352408714297,0.5584212687306245,2.746961951012743,89
137X,N80,11.03,6.9,PFPeA,0.36635586123334646,5.66,0.054727183963488774,1.7382031017039499,90
137X,N80,11.03,6.9,PFHxA,1.1957963748288876,1.25,0.9466370998631101,2.97618352099622,90
137X,N80,11.03,6.9,PFNA,1.8692079146332616,2.98,0.6172509780648529,2.7904617867657064,90
142X,N81,3.74,7.5,PFPeA,0.1285038917321656,9.99,0.0028632524256422005,0.4568596373093983,91
142X,N81,3.74,7.5,PFHpA,0.09891953456411601,1.45,0.058220368664907596,1.7650749511651094,91
142X,N81,3.74,7.5,PFHxS,0.7612928711724463,0.25,3.0351714846897853,3.4821832333851086,91
142X,N81,3.74,7.5,PFNA,0.4613628356505426,5.67,0.07136910681667419,1.853510261601863,91
149X,N82,6.52,6.7,PFPrA,2.3774234495879014,31.4,0.06571412259834081,1.8176587136605804,92
149X,N82,6.52,6.7,PFPeA,0.4407889474545983,2.42,0.17214419316305715,2.2358923774921844,92
149X,N82,6.52,6.7,6:2 FTS,1.5523625184981382,14.54,0.09676496000674954,1.985718121454546,92
149X,N82,6.52,6.7,PFNA,3.7328134539887143,2.07,1.7932915236660456,3.253650895712827,92
190X,N83,5.15,7.3,PFPrA,4.176062151794324,38.47129541283597,0.09855007888299436,1.9936569762403777,93
190X,N83,5.15,7.3,PFPeA,0.7082088373453402,3.3714478177347105,0.20006074411710417,2.3011618798113616,93
190X,N83,5.15,7.3,PFHxS,0.8842207466018808,0.9806476780145598,0.8916701578206895,2.9502042320330535,93
122X,N84,4.08,7.2,PFPeA,0.14734155735253635,7.39,0.009937964459071226,0.9972974392542666,94
122X,N84,4.08,7.2,PFHxA,1.60209122171685,3.88,0.4029101086899098,2.6052081636236073,94
122X,N84,4.08,7.2,PFHxS,23.71582799044905,0.27,87.8263999646261,4.943625081231683,94
122X,N84,4.08,7.2,PFNA,10.468461396821226,4.1,2.5432832675173724,3.4053947340130883,94
